IGMS,IGM Biosciences Inc. Common Stock,Major Pharmaceuticals
LSTR,Landstar System Inc. Common Stock,Trucking Freight/Courier Services
BBAR,Banco BBVA Argentina S.A. ADS,Commercial Banks
REV,Revlon Inc. New Common Stock,Package Goods/Cosmetics
MMT,MFS Multimarket Income Trust Common Stock,
WEN,Wendy's Company (The) Common Stock,Restaurants
KREF,KKR Real Estate Finance Trust Inc. Common Stock,Real Estate Investment Trusts
HIHO,Highway Holdings Limited Common Stock,Metal Fabrications
MBCN,Middlefield Banc Corp. Common Stock,Major Banks
KTF,DWS Municipal Income Trust,
QADA,QAD Inc. Class A Common Stock,Computer Software: Prepackaged Software
ADM,Archer-Daniels-Midland Company Common Stock,Packaged Foods
TNDM,Tandem Diabetes Care Inc. Common Stock,Medical/Dental Instruments
L,Loews Corporation Common Stock,Property-Casualty Insurers
WNEB,Western New England Bancorp Inc. Common Stock,Savings Institutions
CSPR,Casper Sleep Inc. Common Stock,Home Furnishings
QIWI,QIWI plc American Depositary Shares,Business Services
SBR,Sabine Royalty Trust Common Stock,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,
MGPI,MGP Ingredients Inc.,Beverages (Production/Distribution)
PHD,Pioneer Floating Rate Trust Pioneer Floating Rate Trust Shares of Beneficial Interest,
ARC,ARC Document Solutions Inc. Common Stock,Professional Services
VNDA,Vanda Pharmaceuticals Inc. Common Stock,Major Pharmaceuticals
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Commercial Banks
GLYC,GlycoMimetics Inc. Common Stock,Major Pharmaceuticals
WINA,Winmark Corporation Common Stock,Other Specialty Stores
RGS,Regis Corporation Common Stock,Other Consumer Services
HON,Honeywell International Inc. Common Stock,Aerospace
EXPD,Expeditors International of Washington Inc. Common Stock,Oil Refining/Marketing
VSAT,ViaSat Inc. Common Stock,Radio And Television Broadcasting And Communications Equipment
IPOF,Social Capital Hedosophia Holdings Corp. VI Class A Ordinary Shares,Business Services
SNAP,Snap Inc. Class A Common Stock,Computer Software: Programming Data Processing
INTC,Intel Corporation Common Stock,Semiconductors
BPOP,Popular Inc. Common Stock,Major Banks
DOGZ,Dogness (International) Corporation Class A Common Stock,Miscellaneous manufacturing industries
CLNC,Colony Credit Real Estate Inc. Class A Common Stock,Real Estate Investment Trusts
CPHI,China Pharma Holdings Inc. Common Stock,Major Pharmaceuticals
PCK,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest,
CUTR,Cutera Inc. Common Stock,Biotechnology: Electromedical & Electrotherapeutic Apparatus
GSBC,Great Southern Bancorp Inc. Common Stock,Major Banks
CTK,CooTek (Cayman) Inc. American Depositary Shares each representing 50 Class A Ordinary Shares,EDP Services
MAGS,Magal Security Systems Ltd. Ordinary Shares,Telecommunications Equipment
CCAC,CITIC Capital Acquisition Corp. Class A Ordinary Shares,Business Services
TT,Trane Technologies plc,Auto Parts:O.E.M.
FI,Frank's International N.V. Common Stock,Oilfield Services/Equipment
BTZ,BlackRock Credit Allocation Income Trust,
TLC,Taiwan Liposome Company Ltd. American Depository Shares,Major Pharmaceuticals
EDIT,Editas Medicine Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
WERN,Werner Enterprises Inc. Common Stock,Trucking Freight/Courier Services
FFC,Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,
MCAC,Mountain Crest Acquisition Corp. Common Stock,Other Specialty Stores
MP,MP Materials Corp. Common Stock,Precious Metals
PLIN,China Xiangtai Food Co. Ltd. Ordinary Shares,Meat/Poultry/Fish
WWR,Westwater Resources Inc. Common Stock,Precious Metals
OPK,OPKO Health Inc. Common Stock,Major Pharmaceuticals
BCTG,BCTG Acquisition Corp. Common Stock,Business Services
CLWT,Euro Tech Holdings Company Limited Common Stock,Diversified Electronic Products
NMTR,9 Meters Biopharma Inc. Common Stock,Major Pharmaceuticals
CLSN,Celsion Corporation Common Stock,Major Pharmaceuticals
SCM,Stellus Capital Investment Corporation Common Stock,
PBH,Prestige Consumer Healthcare Inc. Common Stock,Major Pharmaceuticals
CLH,Clean Harbors Inc. Common Stock,Environmental Services
IDA,IDACORP Inc. Common Stock,Electric Utilities: Central
FANH,Fanhua Inc. American Depositary Shares,Specialty Insurers
FDBC,Fidelity D & D Bancorp Inc. Common Stock,Major Banks
NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,Real Estate Investment Trusts
NBRV,Nabriva Therapeutics plc Ordinary Shares Ireland,Major Pharmaceuticals
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,Industrial Specialties
CRMD,CorMedix Inc. Common Stock,Major Pharmaceuticals
SRRA,Sierra Oncology Inc. Common Stock,Major Pharmaceuticals
PDCO,Patterson Companies Inc. Common Stock,Medical Specialities
NAT,Nordic American Tankers Limited Common Stock,Marine Transportation
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,Industrial Machinery/Components
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Beverages (Production/Distribution)
SUNW,Sunworks Inc. Common Stock,Telecommunications Equipment
USAK,USA Truck Inc. Common Stock,Trucking Freight/Courier Services
CARE,Carter Bankshares Inc. Common Stock,Major Banks
CURI,CuriosityStream Inc. Class A Common Stock,Movies/Entertainment
PHGE,BiomX Inc. COmmon Stock,Biotechnology: Biological Products (No Diagnostic Substances)
VIPS,Vipshop Holdings Limited American Depositary Shares each representing two ordinary shares,Catalog/Specialty Distribution
FBNC,First Bancorp Common Stock,Major Banks
BCYC,Bicycle Therapeutics plc American Depositary Shares,Major Pharmaceuticals
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,Business Services
CLW,Clearwater Paper Corporation Common Stock,Paper
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,Real Estate Investment Trusts
MKC,McCormick & Company Incorporated Common Stock,Packaged Foods
PHT,Pioneer High Income Trust Common Shares of Beneficial Interest,
ASTE,Astec Industries Inc. Common Stock,Construction/Ag Equipment/Trucks
IGA,Voya Global Advantage and Premium Opportunity Fund Common Shares of Beneficial Interest,
WLTW,Willis Towers Watson Public Limited Company Ordinary Shares,Specialty Insurers
VER,VEREIT Inc. Common Stock,Real Estate Investment Trusts
KSU,Kansas City Southern Common Stock,Railroads
GSV,Gold Standard Ventures Corporation Common Stock (Canada),Mining & Quarrying of Nonmetallic Minerals (No Fuels)
HRTX,Heron Therapeutics Inc. Common Stock,Major Pharmaceuticals
SMBK,SmartFinancial Inc. Common Stock,Major Banks
ITT,ITT Inc. Common Stock,Fluid Controls
TPR,Tapestry Inc. Common Stock,Apparel
KGC,Kinross Gold Corporation Common Stock,Precious Metals
IMAC,IMAC Holdings Inc. Common Stock,Medical Specialities
NSH,NavSight Holdings Inc. Class A Common Stock,Business Services
AAT,American Assets Trust Inc. Common Stock,Real Estate Investment Trusts
WASH,Washington Trust Bancorp Inc. Common Stock,Major Banks
OCA,Omnichannel Acquisition Corp. Class A Common Stock,Business Services
KBAL,Kimball International Inc. Class B Common Stock,Home Furnishings
TCS,Container Store (The) Common Stock,Home Furnishings
PRAX,Praxis Precision Medicines Inc. Common Stock,Major Pharmaceuticals
FULC,Fulcrum Therapeutics Inc. Common Stock,Major Pharmaceuticals
NTZ,Natuzzi S.p.A.,Home Furnishings
SRNE,Sorrento Therapeutics Inc.  Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
T,AT&T Inc.,Telecommunications Equipment
EGY,VAALCO Energy Inc.  Common Stock,Oil & Gas Production
NHF,NexPoint Strategic Opportunities Fund,
SIOX,Sio Gene Therapies Inc. Common Stock,Major Pharmaceuticals
CABO,Cable One Inc. Common Stock,Television Services
MANT,ManTech International Corporation Common Stock $0.01 Par Value,Other Consumer Services
GRPN,Groupon Inc. Common Stock,Advertising
HGLB,Highland Global Allocation Fund Common Stock,
HOL,Holicity Inc. Class A Common Stock,Business Services
MN,Manning & Napier Inc. Class A Common Stock,Investment Managers
TIGO,Millicom International Cellular S.A. Common Stock,Telecommunications Equipment
LOB,Live Oak Bancshares Inc. Common Stock,Major Banks
DVA,DaVita Inc. Common Stock,Misc Health and Biotechnology Services
SILC,Silicom Ltd Ordinary Shares,Computer Communications Equipment
ROIC,Retail Opportunity Investments Corp. Common Stock (MD),Real Estate Investment Trusts
AGX,Argan Inc. Common Stock,Engineering & Construction
EPAM,EPAM Systems Inc. Common Stock,EDP Services
IMMR,Immersion Corporation Common Stock,Computer peripheral equipment
