SEAH,Sports Entertainment Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
FHB,First Hawaiian Inc. Common Stock,United States,Finance,Major Banks
SNDE,Sundance Energy Inc. Common Stock,United States,Energy,Oil & Gas Production
SALM,Salem Media Group Inc. Class A Common Stock,United States,Consumer Services,Broadcasting
HSC,Harsco Corporation Common Stock,United States,Consumer Services,Diversified Commercial Services
CBZ,CBIZ Inc. Common Stock,United States,Miscellaneous,Business Services
SMTS,Sierra Metals Inc. Common Stock,,Basic Industries,Precious Metals
SLGN,Silgan Holdings Inc. Common Stock,United States,Consumer Durables,Containers/Packaging
PBTS,Powerbridge Technologies Co. Ltd. Ordinary Shares,China,Technology,EDP Services
NVCR,NovoCure Limited Ordinary Shares,Jersey,Health Care,Medical/Dental Instruments
GTES,Gates Industrial Corporation plc Ordinary Shares,,Technology,Industrial Machinery/Components
PXS,Pyxis Tankers Inc. Common Stock,Greece,Transportation,Marine Transportation
ACIW,ACI Worldwide Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
EOLS,Evolus Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
FIXX,Homology Medicines Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
RMGB,RMG Acquisition Corp. II Class A Ordinary Shares,United States,Finance,Business Services
GSS,Golden Star Resources Ltd Common Stock,United States,Basic Industries,Precious Metals
HRTG,Heritage Insurance Holdings Inc. Common Stock,,Finance,Property-Casualty Insurers
VVNT,Vivint Smart Home Inc.,,Technology,EDP Services
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),,Technology,EDP Services
MMLP,Martin Midstream Partners L.P. Limited Partnership,United States,Energy,Oil Refining/Marketing
PCRX,Pacira BioSciences Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,United States,Health Care,Major Pharmaceuticals
PTY,Pimco Corporate & Income Opportunity Fund,United States,,
RPD,Rapid7 Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
PTGX,Protagonist Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
CLLS,Cellectis S.A. American Depositary Shares,France,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AAN,Aarons Holdings Company Inc. Common Stock,United States,Technology,Diversified Commercial Services
